antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski,rule_name
"frozenset({'Age_bin_nan', 'MonthlyIncome_bin_(0, 3000]', 'YearsAtCompany_bin_(2, 5]', 'AttritionLabel_Stay'})","frozenset({'TotalWorkingYears_bin_(0, 5]', 'JobLevel_1.7509357550394118'})",0.051351351351351354,0.06959459459459459,0.025,0.4868421052631579,6.995401124169648,1.0,0.021426223520818116,1.8130977130977133,0.9034419034419034,0.2605633802816902,0.448457745671368,0.4230327031170159,"Age_bin_nan, MonthlyIncome_bin_(0, 3000], YearsAtCompany_bin_(2, 5], AttritionLabel_Stay → TotalWorkingYears_bin_(0, 5], JobLevel_1.7509357550394118"
"frozenset({'MonthlyIncome_bin_(0, 3000]', 'YearsAtCompany_bin_(2, 5]', 'AttritionLabel_Stay'})","frozenset({'TotalWorkingYears_bin_(0, 5]', 'JobLevel_1.7509357550394118'})",0.051351351351351354,0.06959459459459459,0.025,0.4868421052631579,6.995401124169648,1.0,0.021426223520818116,1.8130977130977133,0.9034419034419034,0.2605633802816902,0.448457745671368,0.4230327031170159,"MonthlyIncome_bin_(0, 3000], YearsAtCompany_bin_(2, 5], AttritionLabel_Stay → TotalWorkingYears_bin_(0, 5], JobLevel_1.7509357550394118"
"frozenset({'MonthlyIncome_bin_(0, 3000]', 'YearsAtCompany_bin_(2, 5]', 'AttritionLabel_Stay'})","frozenset({'TotalWorkingYears_bin_(0, 5]', 'Age_bin_nan', 'JobLevel_1.7509357550394118'})",0.051351351351351354,0.06959459459459459,0.025,0.4868421052631579,6.995401124169648,1.0,0.021426223520818116,1.8130977130977133,0.9034419034419034,0.2605633802816902,0.448457745671368,0.4230327031170159,"MonthlyIncome_bin_(0, 3000], YearsAtCompany_bin_(2, 5], AttritionLabel_Stay → TotalWorkingYears_bin_(0, 5], Age_bin_nan, JobLevel_1.7509357550394118"
"frozenset({'TotalWorkingYears_bin_(0, 5]', 'JobLevel_1.7509357550394118'})","frozenset({'MonthlyIncome_bin_(0, 3000]', 'YearsAtCompany_bin_(2, 5]', 'AttritionLabel_Stay'})",0.06959459459459459,0.051351351351351354,0.025,0.35922330097087385,6.995401124169648,1.0,0.021426223520818116,1.4804668304668305,0.9211564505682152,0.2605633802816902,0.32453738278981004,0.4230327031170159,"TotalWorkingYears_bin_(0, 5], JobLevel_1.7509357550394118 → MonthlyIncome_bin_(0, 3000], YearsAtCompany_bin_(2, 5], AttritionLabel_Stay"
"frozenset({'TotalWorkingYears_bin_(0, 5]', 'JobLevel_1.7509357550394118'})","frozenset({'Age_bin_nan', 'MonthlyIncome_bin_(0, 3000]', 'YearsAtCompany_bin_(2, 5]', 'AttritionLabel_Stay'})",0.06959459459459459,0.051351351351351354,0.025,0.35922330097087385,6.995401124169648,1.0,0.021426223520818116,1.4804668304668305,0.9211564505682152,0.2605633802816902,0.32453738278981004,0.4230327031170159,"TotalWorkingYears_bin_(0, 5], JobLevel_1.7509357550394118 → Age_bin_nan, MonthlyIncome_bin_(0, 3000], YearsAtCompany_bin_(2, 5], AttritionLabel_Stay"
"frozenset({'TotalWorkingYears_bin_(0, 5]', 'Age_bin_nan', 'JobLevel_1.7509357550394118'})","frozenset({'MonthlyIncome_bin_(0, 3000]', 'YearsAtCompany_bin_(2, 5]', 'AttritionLabel_Stay'})",0.06959459459459459,0.051351351351351354,0.025,0.35922330097087385,6.995401124169648,1.0,0.021426223520818116,1.4804668304668305,0.9211564505682152,0.2605633802816902,0.32453738278981004,0.4230327031170159,"TotalWorkingYears_bin_(0, 5], Age_bin_nan, JobLevel_1.7509357550394118 → MonthlyIncome_bin_(0, 3000], YearsAtCompany_bin_(2, 5], AttritionLabel_Stay"
"frozenset({'Age_bin_nan', 'JobLevel_1.7509357550394118'})","frozenset({'MonthlyIncome_bin_(0, 3000]', 'YearsAtCompany_bin_(2, 5]', 'AttritionLabel_Stay'})",0.0722972972972973,0.051351351351351354,0.025,0.3457943925233645,6.733890801770783,1.0,0.021287436084733383,1.45007722007722,0.9178559477175646,0.2534246575342466,0.3103815533722076,0.4163182488932612,"Age_bin_nan, JobLevel_1.7509357550394118 → MonthlyIncome_bin_(0, 3000], YearsAtCompany_bin_(2, 5], AttritionLabel_Stay"
"frozenset({'TotalWorkingYears_bin_(0, 5]', 'MonthlyIncome_bin_(0, 3000]', 'YearsAtCompany_bin_(2, 5]', 'AttritionLabel_Stay'})",frozenset({'JobLevel_1.7509357550394118'}),0.051351351351351354,0.0722972972972973,0.025,0.4868421052631579,6.733890801770783,1.0,0.021287436084733383,1.807830907830908,0.8975898975898976,0.2534246575342466,0.44685092191513015,0.4163182488932612,"TotalWorkingYears_bin_(0, 5], MonthlyIncome_bin_(0, 3000], YearsAtCompany_bin_(2, 5], AttritionLabel_Stay → JobLevel_1.7509357550394118"
frozenset({'JobLevel_1.7509357550394118'}),"frozenset({'Age_bin_nan', 'MonthlyIncome_bin_(0, 3000]', 'YearsAtCompany_bin_(2, 5]', 'AttritionLabel_Stay'})",0.0722972972972973,0.051351351351351354,0.025,0.3457943925233645,6.733890801770783,1.0,0.021287436084733383,1.45007722007722,0.9178559477175646,0.2534246575342466,0.3103815533722076,0.4163182488932612,"JobLevel_1.7509357550394118 → Age_bin_nan, MonthlyIncome_bin_(0, 3000], YearsAtCompany_bin_(2, 5], AttritionLabel_Stay"
frozenset({'JobLevel_1.7509357550394118'}),"frozenset({'YearsAtCompany_bin_(2, 5]', 'MonthlyIncome_bin_(0, 3000]', 'TotalWorkingYears_bin_(0, 5]', 'Age_bin_nan', 'AttritionLabel_Stay'})",0.0722972972972973,0.051351351351351354,0.025,0.3457943925233645,6.733890801770783,1.0,0.021287436084733383,1.45007722007722,0.9178559477175646,0.2534246575342466,0.3103815533722076,0.4163182488932612,"JobLevel_1.7509357550394118 → YearsAtCompany_bin_(2, 5], MonthlyIncome_bin_(0, 3000], TotalWorkingYears_bin_(0, 5], Age_bin_nan, AttritionLabel_Stay"
