antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'JobLevel_4'}),"frozenset({'TotalWorkingYears_bin_(20, 40]'})",0.0722972972972973,0.14054054054054055,0.06756756756756757,0.9345794392523366,6.649892163910856,1.0,0.05740686632578525,13.137451737451759,0.9158339402767661,0.4651162790697675,0.923881737494857,0.7076743350107837
"frozenset({'JobLevel_4', 'MonthlyIncome_bin_(10000, 20000]'})","frozenset({'TotalWorkingYears_bin_(20, 40]'})",0.0722972972972973,0.14054054054054055,0.06756756756756757,0.9345794392523366,6.649892163910856,1.0,0.05740686632578525,13.137451737451759,0.9158339402767661,0.4651162790697675,0.923881737494857,0.7076743350107837
"frozenset({'AttritionLabel_Stay', 'JobLevel_4'})","frozenset({'TotalWorkingYears_bin_(20, 40]'})",0.06891891891891892,0.14054054054054055,0.06418918918918919,0.9313725490196078,6.62707390648567,1.0,0.05450328707085463,12.523552123552108,0.9119547780918188,0.441860465116279,0.9201504501171537,0.6940516591251884
"frozenset({'AttritionLabel_Stay', 'JobLevel_4', 'MonthlyIncome_bin_(10000, 20000]'})","frozenset({'TotalWorkingYears_bin_(20, 40]'})",0.06891891891891892,0.14054054054054055,0.06418918918918919,0.9313725490196078,6.62707390648567,1.0,0.05450328707085463,12.523552123552108,0.9119547780918188,0.441860465116279,0.9201504501171537,0.6940516591251884
"frozenset({'MonthlyIncome_bin_(10000, 20000]', 'OverTime_Yes_False', 'Age_bin_(40, 50]'})","frozenset({'TotalWorkingYears_bin_(20, 40]'})",0.05675675675675676,0.14054054054054055,0.05,0.8809523809523809,6.268315018315018,1.0,0.04202337472607743,7.2194594594594586,0.8910400371718423,0.3394495412844037,0.8614854746930218,0.6183608058608059
"frozenset({'Age_bin_(40, 50]', 'AttritionLabel_Stay', 'MonthlyIncome_bin_(10000, 20000]'})","frozenset({'TotalWorkingYears_bin_(20, 40]'})",0.0777027027027027,0.14054054054054055,0.06689189189189189,0.8608695652173913,6.125418060200669,1.0,0.05597151205259313,6.177364864864866,0.9072409072409073,0.44196428571428564,0.8381186765108012,0.6684155518394649
"frozenset({'Age_bin_(40, 50]', 'MonthlyIncome_bin_(10000, 20000]'})","frozenset({'TotalWorkingYears_bin_(20, 40]'})",0.08378378378378379,0.14054054054054055,0.07094594594594594,0.846774193548387,6.025124069478907,1.0,0.059170927684441196,5.609103840682785,0.9102963899424076,0.4625550660792951,0.8217184012984378,0.6757909429280397
"frozenset({'YearsAtCompany_bin_(10, 40]', 'AttritionLabel_Stay', 'MonthlyIncome_bin_(10000, 20000]'})","frozenset({'TotalWorkingYears_bin_(20, 40]'})",0.08445945945945946,0.14054054054054055,0.06486486486486487,0.768,5.464615384615384,1.0,0.052994886778670564,3.7045666356011187,0.8923739237392373,0.4050632911392405,0.730062893081761,0.6147692307692307
"frozenset({'YearsAtCompany_bin_(10, 40]', 'MonthlyIncome_bin_(10000, 20000]'})","frozenset({'TotalWorkingYears_bin_(20, 40]'})",0.0945945945945946,0.14054054054054055,0.0722972972972973,0.7642857142857142,5.438186813186813,1.0,0.05900292184075967,3.6461916461916455,0.9013809457385966,0.44398340248962653,0.7257412398921832,0.6393543956043956
"frozenset({'YearsAtCompany_bin_(10, 40]', 'OverTime_Yes_False', 'MonthlyIncome_bin_(10000, 20000]'})","frozenset({'TotalWorkingYears_bin_(20, 40]'})",0.06756756756756757,0.14054054054054055,0.05067567567567568,0.75,5.336538461538462,1.0,0.041179693206720235,3.437837837837838,0.8714975845410627,0.3218884120171674,0.7091194968553459,0.5552884615384616
