ratio,model,accuracy,precision,recall,f1,auc,training_time,labeled_ratio
0.1,XGBoost-Sup,0.8378378378378378,0.5,0.25,0.3333333333333333,0.7043850806451614,0.150254487991333,10%
0.1,RF-Sup,0.8243243243243243,0.4090909090909091,0.1875,0.2571428571428571,0.7728074596774193,0.1862010955810547,10%
0.1,XGBoost-Semi,0.8243243243243243,0.3888888888888889,0.14583333333333334,0.21212121212121213,0.7090893817204301,0.30225324630737305,10%
0.1,RF-Semi,0.8277027027027027,0.4117647058823529,0.14583333333333334,0.2153846153846154,0.7135416666666666,1.1555156707763672,10%
0.2,XGBoost-Sup,0.8716216216216216,0.7777777777777778,0.2916666666666667,0.42424242424242425,0.7658770161290323,0.04129767417907715,20%
0.2,RF-Sup,0.8614864864864865,0.8181818181818182,0.1875,0.3050847457627119,0.7828040994623656,0.14910674095153809,20%
0.2,XGBoost-Semi,0.847972972972973,0.8,0.08333333333333333,0.1509433962264151,0.7438676075268816,0.2773253917694092,20%
0.2,RF-Semi,0.847972972972973,0.6666666666666666,0.125,0.21052631578947367,0.7429015456989247,1.0314269065856934,20%
0.3,XGBoost-Sup,0.875,0.9230769230769231,0.25,0.39344262295081966,0.802671370967742,0.04521059989929199,30%
0.3,RF-Sup,0.8547297297297297,1.0,0.10416666666666667,0.18867924528301888,0.7836441532258065,0.16901659965515137,30%
0.3,XGBoost-Semi,0.8547297297297297,1.0,0.10416666666666667,0.18867924528301888,0.7930947580645161,0.47017478942871094,30%
0.3,RF-Semi,0.847972972972973,0.8,0.08333333333333333,0.1509433962264151,0.7273185483870969,1.2797572612762451,30%
